id;Код ОО;Задания с кратким ответом;Первичный балл;Балл;Task1;Task2;Task3;Task4;Task5;Task6;Task7;Task8;Task9;Task10;Task11;Task12;Task13;Task14;Task15;Task16;Task17;Task18;Task19;Task20;Task21;Task22;Task23;Task24;Task25;Task26;Task27
174;232043;++-+-+-+-+-+++-+-++--+---10;14;62;1;1;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;1;1;0;0;1;0;0;0;1;0
175;220163;++---+-+-+---+----+--+---00;8;46;1;1;0;0;0;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
176;247026;+++-++---+++-----++------00;10;51;1;1;1;0;1;1;0;0;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
177;246016;+++--+----++-+++-+-+++++-00;15;64;1;1;1;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;0;1;1;1;1;1;0;0;0
178;205083;+++--+---+++++-+-++--++--00;14;62;1;1;1;0;0;1;0;0;0;1;1;1;1;1;0;1;0;1;1;0;0;1;1;0;0;0;0
179;249042;++++++-+-+-+-----+-------00;10;51;1;1;1;1;1;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
180;220013;++++-+---+-+---+---------00;8;46;1;1;1;1;0;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
181;238013;++++-++--+-+-----+---+-+-00;11;54;1;1;1;1;0;1;1;0;0;1;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0
182;245093;+++-+++-++-+-++-++++-++--10;18;72;1;1;1;0;1;1;1;0;1;1;0;1;0;1;1;0;1;1;1;1;0;1;1;0;0;1;0
183;232103;++++++---+-+---+--+------00;10;51;1;1;1;1;1;1;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0
184;243036;++++++-++++++++++++++++++00;24;88;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
185;243013;---+-----+-----+---------00;3;20;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
186;246015;++++-+---+--+-----+-+----00;9;48;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0
187;243025;++++-----+-+-+-+-----+---00;9;48;1;1;1;1;0;0;0;0;0;1;0;1;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0
188;205083;+++-++--++--+--+++++-++++00;17;70;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;1;1;1;1;1;0;1;1;1;1;0;0
189;247016;+++++++--+++++-++++++++++20;24;88;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;2;0
190;213033;+++--+-+-+---+-+-++++++--00;14;62;1;1;1;0;0;1;0;1;0;1;0;0;0;1;0;1;0;1;1;1;1;1;1;0;0;0;0
191;241036;+++++++-++++++-+++++++++-21;25;90;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;2;1
192;237033;++++-++++++-+++++++--++-+10;21;80;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;1;0;1;1;0
193;246015;++-+-+---+-----+-++------00;8;46;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0
194;244013;++---+--++++-+-+--+++++--00;14;62;1;1;0;0;0;1;0;0;1;1;1;1;0;1;0;1;0;0;1;1;1;1;1;0;0;0;0
195;246025;+++-+++-++++++-+++++++--+00;20;78;1;1;1;0;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;0;1;0;0
196;243015;+++-+++++++++++++++++++--00;22;83;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
197;249046;+++--+-+-+++---+-++--+---00;12;56;1;1;1;0;0;1;0;1;0;1;1;1;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0
198;246163;+-+---+--+--------+--+---00;6;40;1;0;1;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0
199;264064;+++--+-----++---+----+---00;8;46;1;1;1;0;0;1;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;1;0;0;0;0;0
200;232183;++-+-----+--+-----+------00;6;40;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
201;238047;++---+-+-+++++-++-+++++-+10;18;72;1;1;0;0;0;1;0;1;0;1;1;1;1;1;0;1;1;0;1;1;1;1;1;0;1;1;0
202;243015;+++--+-+++++-++++-+++-+-+00;18;72;1;1;1;0;0;1;0;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;0;1;0;0
203;208063;+----+---+-+---------+---00;5;34;1;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
204;244033;+++-++-+++-+-+-++++++++-+00;19;75;1;1;1;0;1;1;0;1;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;0;1;0;0
205;216023;++----++-+---+-+-+---++--00;10;51;1;1;0;0;0;0;1;1;0;1;0;0;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0
206;245053;++++++++++++++-++++++++++00;24;88;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0
207;241036;+++++++-+++++++++++++++++21;27;95;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;1
208;246016;+++++++-++++++++++++-++-+00;22;83;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0
209;205025;-++--+---+-++--+-+---++--00;10;51;0;1;1;0;0;1;0;0;0;1;0;1;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0
210;205163;++-+-+-+++-+++++-+---++--00;15;64;1;1;0;1;0;1;0;1;1;1;0;1;1;1;1;1;0;1;0;0;0;1;1;0;0;0;0
211;246025;++--++--++-+-+++-+++++---00;15;64;1;1;0;0;1;1;0;0;1;1;0;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0
212;241036;++++++++-++++++++++++++++20;26;93;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;0
213;241036;++--+++-++++-+-++++++++--00;18;72;1;1;0;0;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;0;0;0
214;213033;+++-+++++++++-+++++--+-++10;21;80;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;1;0;1;1;1;0
215;241036;+++++++--++++++-++++++--+11;22;83;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;1;1;1
216;220043;+++++--++++--++++++++++--00;19;75;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0
217;245036;++++++++-+++++++-+++++---00;20;78;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;0;0;0;0;0
218;206015;+-+++++++-++++-++--+-+--+00;17;70;1;0;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;0;0;1;0;1;0;0;1;0;0
219;234033;---------+---------------00;1;7;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
220;238103;+++-++--++--+----+++++---00;13;59;1;1;1;0;1;1;0;0;1;1;0;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;0
221;223013;+++--+-+-+-+-+-++----+---00;11;54;1;1;1;0;0;1;0;1;0;1;0;1;0;1;0;1;1;0;0;0;0;1;0;0;0;0;0
222;238013;+++-++-++++-+++++++++++--00;20;78;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
223;246046;++---+---+-+--+----------00;6;40;1;1;0;0;0;1;0;0;0;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
224;246015;-+---+-----+-+----+--+---00;6;40;0;1;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
225;244015;+------------------------00;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
226;246153;+-+------+---------------00;3;20;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
227;216023;+++-+++-+++++++++++++++-+00;22;83;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0
228;245033;+++++++-++++-+++-+++++---00;19;75;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;0;0;0;0;0
229;243035;++-+-+++-+++-+++--+++++--00;17;70;1;1;0;1;0;1;1;1;0;1;1;1;0;1;1;1;0;0;1;1;1;1;1;0;0;0;0
230;238013;+--+-+---+--++--------+--00;7;43;1;0;0;1;0;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0
231;238047;++++++---+-----+-+++-+---00;12;56;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0
232;246015;++++++++++++-+-++++++--++00;21;80;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;1;1;0;0
233;246016;+++-+++--+++-+++++++++++-10;21;80;1;1;1;0;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;0
234;244017;-------------------------00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
235;241036;+++-+++-++++-++++++++++++00;22;83;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0
236;245053;+++++---++-------++------00;9;48;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0
237;224093;-------------------------00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
238;244015;+++--++--+++++++++++++--+00;19;75;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0
239;232063;++++++---+-+++++++++++++-10;21;80;1;1;1;1;1;1;0;0;0;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0
240;243053;++++-++--+-+-++--++++++--00;16;67;1;1;1;1;0;1;1;0;0;1;0;1;0;1;1;0;0;1;1;1;1;1;1;0;0;0;0
241;220153;++---+---+-----------+---00;5;34;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
242;242026;-+++-+--++++-+++-+-++++-+00;17;70;0;1;1;1;0;1;0;0;1;1;1;1;0;1;1;1;0;1;0;1;1;1;1;0;1;0;0
243;246013;++++++--++-++++++++++++--00;20;78;1;1;1;1;1;1;0;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0
244;244016;+--------+---+-+-----++--00;6;40;1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;1;1;0;0;0;0
245;246046;+++-++--+++++++++++-++-++00;20;78;1;1;1;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;1;0;0
246;247113;+++------+--+-+----------00;6;40;1;1;1;0;0;0;0;0;0;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0
247;216073;-----+---+---------------00;2;14;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
248;205025;++---+--++-++-----+--+---00;9;48;1;1;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
249;243035;++--++-+-++++++++-+++++-+00;19;75;1;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0
250;205133;+----+-------------------00;2;14;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
251;246046;++++-++--++--++++++++++++00;20;78;1;1;1;1;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0
252;243025;++++++++-+++++++-++++++--00;21;80;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0
253;246015;++++++++++++++-++++++++++10;25;90;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0
254;206013;++++-++-++++-++++--+-+-+-20;19;75;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;0;0;1;0;1;0;1;0;2;0
255;238043;++-++++++++++++++++++++++00;24;88;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
256;242026;++++-+-++++++--++-++--+--00;16;67;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;1;1;0;1;1;0;0;1;0;0;0;0
257;206015;-++-+++--++++++++++--++++10;20;78;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0
258;246013;++-++++--+-+---+--+--+---00;11;54;1;1;0;1;1;1;1;0;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
259;247027;+++++++++++++++++++++++++01;26;93;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1
260;243025;+-+--+---+---------------00;4;27;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
261;233063;+++--+---+-++-----+------00;8;46;1;1;1;0;0;1;0;0;0;1;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
262;204053;+-++-+---+------+-++-----00;8;46;1;0;1;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0
263;245053;+++-+++-++-+++--+++++++--00;18;72;1;1;1;0;1;1;1;0;1;1;0;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0
264;246173;-----+---+-----------+---00;3;20;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
265;220016;++---------+-------------00;3;20;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
266;238047;+++++++++++--+++-++--+---00;17;70;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0
267;246025;+++-++-+-+-+++++++++++-++10;21;80;1;1;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0
268;203073;++++++-++++-+++++++++++-+20;24;88;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;2;0
269;249042;+----+-----+---+---------10;5;34;1;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0
270;243015;+++--+--++-+-++++++++++--00;17;70;1;1;1;0;0;1;0;0;1;1;0;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0
271;205026;-+--++---+-+---+---------00;6;40;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
272;227013;++++-++--+++-------------00;9;48;1;1;1;1;0;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
273;234053;+++-++-----+-+++-++--+---00;12;56;1;1;1;0;1;1;0;0;0;0;0;1;0;1;1;1;0;1;1;0;0;1;0;0;0;0;0
274;244015;+++++++++++++++++-+++++-+00;23;85;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0
275;216073;+++++++++++++++++++++++++02;27;95;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;2
276;234023;-+-++----+++-+-+-+-------00;9;48;0;1;0;1;1;0;0;0;0;1;1;1;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0
277;245033;+--+-+--++-----++--------10;8;46;1;0;0;1;0;1;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0
278;244016;+-++++++++++-+-++++--+++-00;19;75;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;0;0;1;1;1;0;0;0
279;247033;+----+-------------------00;2;14;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
280;241036;++++-+---+-+-+-+----+++--00;12;56;1;1;1;1;0;1;0;0;0;1;0;1;0;1;0;1;0;0;0;0;1;1;1;0;0;0;0
281;247033;++---+---++--+----+-+++--00;10;51;1;1;0;0;0;1;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;1;1;0;0;0;0
282;243016;++-+-+---+-+-+-----------00;7;43;1;1;0;1;0;1;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
283;243015;+++++++++++++++++++++++++00;25;90;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0
284;243016;-++------+---+-----------00;4;27;0;1;1;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
285;245033;++-+-----+--+--+--++-+---00;9;48;1;1;0;1;0;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0
286;243015;++-++++-+++++++++++++++-+00;22;83;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0
287;244016;++-++++++++++++++++++++-+00;23;85;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0
288;205243;+++++++-++-+++++++++++--+00;21;80;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0
289;247023;-+++++++++++-++++++++++--10;22;83;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;0
290;238015;++++++++++++-+-++++++++-+10;23;85;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;1;0;1;1;0
291;244015;-+--++---+-+-++++----++--00;11;54;0;1;0;0;1;1;0;0;0;1;0;1;0;1;1;1;1;0;0;0;0;1;1;0;0;0;0
292;238016;+++-++---+-+---++++++++--00;15;64;1;1;1;0;1;1;0;0;0;1;0;1;0;0;0;1;1;1;1;1;1;1;1;0;0;0;0
293;205163;+++------+--+------------00;5;34;1;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
294;243015;++++-+---+-+-+++-+-+++---00;14;62;1;1;1;1;0;1;0;0;0;1;0;1;0;1;1;1;0;1;0;1;1;1;0;0;0;0;0
295;247027;+-++-+-+-+++++++++++-++++00;20;78;1;0;1;1;0;1;0;1;0;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;0
296;246015;++++-+--++++-+-++++++---+00;17;70;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;1;0;0
297;247027;++-+-+---+++-+-+-+---++--00;12;56;1;1;0;1;0;1;0;0;0;1;1;1;0;1;0;1;0;1;0;0;0;1;1;0;0;0;0
298;241046;++++-+--++++-+-++++++----00;16;67;1;1;1;1;0;1;0;0;1;1;1;1;0;1;0;1;1;1;1;1;1;0;0;0;0;0;0
299;246153;+-+-+----+--------+++----00;7;43;1;0;1;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0
300;237033;+++--+---+-----------+---00;6;40;1;1;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
301;243016;+--+-++--++--+---+---+---00;9;48;1;0;0;1;0;1;1;0;0;1;1;0;0;1;0;0;0;1;0;0;0;1;0;0;0;0;0
302;205163;++--++++++-+-+++++++-++-+00;19;75;1;1;0;0;1;1;1;1;1;1;0;1;0;1;1;1;1;1;1;1;0;1;1;0;1;0;0
303;238053;++++++++-++++++++++++++-+10;24;88;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0
304;242026;++---++-++-+++++-+++++-+-00;17;70;1;1;0;0;0;1;1;0;1;1;0;1;1;1;1;1;0;1;1;1;1;1;0;1;0;0;0
305;246046;++--++++++++++++--+++-+--00;18;72;1;1;0;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;0;1;0;0;0;0
306;206033;++---+---+--+-----+--+---00;7;43;1;1;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0
307;220163;++-++++--+-----------+---00;8;46;1;1;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
308;246046;+++--++--++++--+---------00;10;51;1;1;1;0;0;1;1;0;0;1;1;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0
309;203033;++++-----+---+-----------00;6;40;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
310;245083;-------------------------00;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
311;216123;+++-++--+++++----+-++-+--00;14;62;1;1;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;1;0;1;1;0;1;0;0;0;0
312;238083;+---+++-++-++------------00;8;46;1;0;0;0;1;1;1;0;1;1;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
313;220163;+++++++--++---++-++------00;13;59;1;1;1;1;1;1;1;0;0;1;1;0;0;0;1;1;0;1;1;0;0;0;0;0;0;0;0
314;233013;++-++++-++++-+++++++++++-20;23;85;1;1;0;1;1;1;1;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;0;2;0
315;244013;+-+--+---+---------------00;4;27;1;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
316;249046;+++-+++-++-++++++++++++-+00;21;80;1;1;1;0;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0
317;206025;+++-+++++++++++++++++++++10;25;90;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0
318;241036;+++--+++-++++++++++++++-+20;23;85;1;1;1;0;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;2;0
319;247025;++++++-++++++++++++++++-+00;23;85;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0
320;238047;+----+---+--+-----+------00;5;34;1;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
321;204023;++++--+--++-------+------00;8;46;1;1;1;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
322;215013;+-+--+-------------------00;3;20;1;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
323;246163;+------------------------00;1;7;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
324;243025;+---++---+-----+-----+---00;6;40;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
325;249042;+----+---+-----+-----+---00;5;34;1;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
326;241046;++---+---+-+------+------00;6;40;1;1;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
327;246046;+++--+-+-++--+++++---++-+10;16;67;1;1;1;0;0;1;0;1;0;1;1;0;0;1;1;1;1;1;0;0;0;1;1;0;1;1;0
328;246026;++++++---+-+++-+-----+---00;12;56;1;1;1;1;1;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;0;0;0;0;0
329;242043;++++-++--+-+-+-+-+++-+---00;14;62;1;1;1;1;0;1;1;0;0;1;0;1;0;1;0;1;0;1;1;1;0;1;0;0;0;0;0
330;247018;++---+--++---------------00;5;34;1;1;0;0;0;1;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
331;238013;++++++++++++-++++-+++-++-20;23;85;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;1;1;0;1;1;0;2;0
332;241036;+++-++++++++++++++++-++-+21;25;90;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;2;1
333;247016;+++--++---++-+-+++++-++++10;18;72;1;1;1;0;0;1;1;0;0;0;1;1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;0
334;227013;+-+-+++--+--+-----+------00;8;46;1;0;1;0;1;1;1;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0
335;201033;---+-+-+-+---+-----------00;5;34;0;0;0;1;0;1;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
336;233016;++---+---+-------+-------00;5;34;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
337;245033;++-+++---+-+------+------00;8;46;1;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0
338;230043;+-+-++---+----++-----+---00;8;46;1;0;1;0;1;1;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
339;246046;++-+++--++-+-+-+-+++++---10;16;67;1;1;0;1;1;1;0;0;1;1;0;1;0;1;0;1;0;1;1;1;1;1;0;0;0;1;0
340;238013;+++--+---+++++++++++++---00;17;70;1;1;1;0;0;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0
341;244017;++------+++-+-++-++++-+--00;13;59;1;1;0;0;0;0;0;0;1;1;1;0;1;0;1;1;0;1;1;1;1;0;1;0;0;0;0
342;206033;+------+-------------+---00;3;20;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
343;238015;++++-++-+++++++++++++++-+00;22;83;1;1;1;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0
344;244015;+++++++++++++++++++++++++22;29;100;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;2;2
345;247016;+++--+---+++-+----+--+---00;10;51;1;1;1;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;1;0;0;1;0;0;0;0;0
346;220163;-+--++++-+++-++++-+++++--00;17;70;0;1;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;0;1;1;1;1;1;0;0;0;0
347;247026;+----+-------------------00;2;14;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
348;241046;+++-++++++++++--+++++++--00;20;78;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;1;1;0;0;0;0
349;249046;++-++--+++++++-++++++-+--00;18;72;1;1;0;1;1;0;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;0;1;0;0;0;0
350;241036;++++++++-+++-++++++++++++10;24;88;1;1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0
